,(,),",",;,[,],int_literal,=,{,},if,else,for,while,break,continue,return,||,&&,==,!=,<,<=,>,>=,+,-,*,/,!,float_literal,bool_literal,string_literal,id,void,boolean,int,float,$
PROGRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUB_PROGRAM_1 PROGRAM,SUB_PROGRAM_1 PROGRAM,SUB_PROGRAM_1 PROGRAM,SUB_PROGRAM_1 PROGRAM,epsilon
SUB_PROGRAM_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TYPE IDENTIFIER SUB_PROGRAM_2,TYPE IDENTIFIER SUB_PROGRAM_2,TYPE IDENTIFIER SUB_PROGRAM_2,TYPE IDENTIFIER SUB_PROGRAM_2,
SUB_PROGRAM_2,FUNCTION_DECL,,,,VARIABLE_DECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCTION_DECL,PARAMETER_LIST COMPOUND_STMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARAMETER_LIST,( PARAMETER_LIST_1 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARAMETER_LIST_1,,epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARAMETERS,PARAMETERS,PARAMETERS,PARAMETERS,
PARAMETERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARAMETER_DECL PARAMETER_LOOP,PARAMETER_DECL PARAMETER_LOOP,PARAMETER_DECL PARAMETER_LOOP,PARAMETER_DECL PARAMETER_LOOP,
PARAMETER_LOOP,,epsilon,", PARAMETER_DECL PARAMETER_LOOP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARAMETER_DECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TYPE IDENTIFIER DECLARATOR,TYPE IDENTIFIER DECLARATOR,TYPE IDENTIFIER DECLARATOR,TYPE IDENTIFIER DECLARATOR,
VARIABLE_DECL,,,,,DECLARATOR_LIST ;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECLARATOR_LIST,,,,,INIT_DECLARATOR DECLARATOR_LOOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECLARATOR_LOOP,,,", INIT_DECLARATOR DECLARATOR_LOOP",epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INIT_DECLARATOR,,,,,DECLARATOR VARIABLE_DECL_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECLARATOR,,,,,[ DECLARATOR_1 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECLARATOR_1,,,,,,epsilon,int_literal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE_DECL_1,,,epsilon,epsilon,,,,= INITIALIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INITIALIZER,EXPR,,,,,,EXPR,,{ EXPR LIST_EXPR },,,,,,,,,,,,,,,,,,,,,,EXPR,EXPR,EXPR,EXPR,,,,,
LIST_EXPR,,,", EXPR LIST_EXPR",,,,,,,epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPOUND_STMT,,,,,,,,,{ COMPOUND_STMT_1 COMPOUND_STMT_2 },,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPOUND_STMT_1,epsilon,,,epsilon,,,epsilon,,,epsilon,epsilon,,epsilon,epsilon,epsilon,epsilon,epsilon,,,,,,,,,,,,,,epsilon,epsilon,epsilon,epsilon,TYPE IDENTIFIER VARIABLE_DECL COMPOUND_STMT_1,TYPE IDENTIFIER VARIABLE_DECL COMPOUND_STMT_1,TYPE IDENTIFIER VARIABLE_DECL COMPOUND_STMT_1,TYPE IDENTIFIER VARIABLE_DECL COMPOUND_STMT_1,
COMPOUND_STMT_2,STATEMENT COMPOUND_STMT_2,,,STATEMENT COMPOUND_STMT_2,,,STATEMENT COMPOUND_STMT_2,,,epsilon,STATEMENT COMPOUND_STMT_2,,STATEMENT COMPOUND_STMT_2,STATEMENT COMPOUND_STMT_2,STATEMENT COMPOUND_STMT_2,STATEMENT COMPOUND_STMT_2,STATEMENT COMPOUND_STMT_2,,,,,,,,,,,,,,STATEMENT COMPOUND_STMT_2,STATEMENT COMPOUND_STMT_2,STATEMENT COMPOUND_STMT_2,STATEMENT COMPOUND_STMT_2,,,,,
STATEMENT,EXPR_STMT,,,EXPR_STMT,,,EXPR_STMT,,,,IF_STMT,,FOR_STMT,WHILE_STMT,BREAK_STMT,CONTINUE_STMT,RETURN_STMT,,,,,,,,,,,,,,EXPR_STMT,EXPR_STMT,EXPR_STMT,EXPR_STMT,,,,,
IF_STMT,,,,,,,,,,,if ( EXPR ) COMPOUND_STMT ELSE_STMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELSE_STMT,epsilon,,,epsilon,,,epsilon,,,epsilon,epsilon,else COMPOUND_STMT,epsilon,epsilon,epsilon,epsilon,epsilon,,,,,,,,,,,,,,epsilon,epsilon,epsilon,epsilon,,,,,
FOR_STMT,,,,,,,,,,,,,for ( EXPR_OR_EPSILON ; EXPR_OR_EPSILON ; EXPR_OR_EPSILON ) COMPOUND_STMT,,,,,,,,,,,,,,,,,,,,,,,,,,
WHILE_STMT,,,,,,,,,,,,,,while ( EXPR ) COMPOUND_STMT,,,,,,,,,,,,,,,,,,,,,,,,,
BREAK_STMT,,,,,,,,,,,,,,,break ;,,,,,,,,,,,,,,,,,,,,,,,,
CONTINUE_STMT,,,,,,,,,,,,,,,,continue ;,,,,,,,,,,,,,,,,,,,,,,,
RETURN_STMT,,,,,,,,,,,,,,,,,return EXPR_OR_EPSILON ;,,,,,,,,,,,,,,,,,,,,,,
EXPR_STMT,EXPR_OR_EPSILON ;,,,EXPR_OR_EPSILON ;,,,EXPR_OR_EPSILON ;,,,,,,,,,,,,,,,,,,,,,,,,EXPR_OR_EPSILON ;,EXPR_OR_EPSILON ;,EXPR_OR_EPSILON ;,EXPR_OR_EPSILON ;,,,,,
EXPR_OR_EPSILON,EXPR,epsilon,,epsilon,,,EXPR,,,,,,,,,,,,,,,,,,,,,,,,EXPR,EXPR,EXPR,EXPR,,,,,
EXPR,ASSIGNMENT_EXPR,,,,,,ASSIGNMENT_EXPR,,,,,,,,,,,,,,,,,,,,,,,,ASSIGNMENT_EXPR,ASSIGNMENT_EXPR,ASSIGNMENT_EXPR,ASSIGNMENT_EXPR,,,,,
ASSIGNMENT_EXPR,CONDITION_OR_EXPR ASSIGNMENT_EXPR_1,,,,,,CONDITION_OR_EXPR ASSIGNMENT_EXPR_1,,,,,,,,,,,,,,,,,,,,,,,,CONDITION_OR_EXPR ASSIGNMENT_EXPR_1,CONDITION_OR_EXPR ASSIGNMENT_EXPR_1,CONDITION_OR_EXPR ASSIGNMENT_EXPR_1,CONDITION_OR_EXPR ASSIGNMENT_EXPR_1,,,,,
ASSIGNMENT_EXPR_1,,epsilon,epsilon,epsilon,,epsilon,,= CONDITION_OR_EXPR ASSIGNMENT_EXPR_1,,epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONDITION_OR_EXPR,CONDITION_AND_EXPR CONDITION_OR_EXPR_1,,,,,,CONDITION_AND_EXPR CONDITION_OR_EXPR_1,,,,,,,,,,,,,,,,,,,,,,,,CONDITION_AND_EXPR CONDITION_OR_EXPR_1,CONDITION_AND_EXPR CONDITION_OR_EXPR_1,CONDITION_AND_EXPR CONDITION_OR_EXPR_1,CONDITION_AND_EXPR CONDITION_OR_EXPR_1,,,,,
