State,Type,Speeling
1,int ,
2,float,
3,,
4,float,
5,,
6,,
7,arithmetic operator,
8,arithmetic operator,
9,arithmetic operator,
10,arithmetic operator,
11,assignment operator,
12,equality operator,
13,relational operator,
14,relational operator,
15,relational operator,
16,relational operator,
17,logical operator,
18,equality operator,
19,,
20,logical operator,
21,,
22,logical operator,
23,separator ,
24,separator ,
25,separator ,
26,separator ,
27,separator ,
28,separator ,
29,separator ,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,keyword,boolean 
38,,
39,,
40,,
41,keyword,break 
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,keyword,continue
50,,
51,,
52,,
53,keyword,else
999,identifier,
-1,error,
